loss_a,loss_b,epoch,time
0.11505155886552729,0.11906486057081399,1,2025-12-01 05:35:55.617599+00:00
0.10057831296720192,0.08026277729744542,2,2025-12-01 05:50:19.095451+00:00
0.08723854420836581,0.06437325517859734,3,2025-12-01 06:04:41.672933+00:00
0.07479005001699386,0.0521654209782014,4,2025-12-01 06:19:03.608696+00:00
0.07219261051793921,0.04857829011844219,5,2025-12-01 06:33:22.134915+00:00
0.07076000578181688,0.046541158010528286,6,2025-12-01 06:47:42.377087+00:00
0.06990881035647134,0.044560181901939264,7,2025-12-01 07:01:59.502872+00:00
0.06888653685003723,0.04294912603450621,8,2025-12-01 07:16:19.640346+00:00
0.06733724288387599,0.041114870969731,9,2025-12-01 07:30:40.301295+00:00
0.06630940191835043,0.039975547332382885,10,2025-12-01 07:45:00.034733+00:00
0.06542887083075115,0.03929880058211969,11,2025-12-01 07:59:17.632960+00:00
0.06505624572306912,0.03851493599247468,12,2025-12-01 08:13:37.299936+00:00
0.0647907363003688,0.03790289202957285,13,2025-12-01 08:27:56.932136+00:00
0.0642121624323844,0.03739737095145659,14,2025-12-01 08:42:15.830314+00:00
0.06418570985434074,0.03674400861027221,15,2025-12-01 08:56:34.570427+00:00
0.0637964365746515,0.0364244036432534,16,2025-12-01 09:10:53.020183+00:00
0.06313118243796392,0.0358728036391466,17,2025-12-01 09:25:10.934020+00:00
0.06291155375428141,0.035615663727039594,18,2025-12-01 09:39:29.405160+00:00
0.06270841338127729,0.03508491117874143,19,2025-12-01 09:53:47.926251+00:00
0.06266236351357031,0.03473360180120951,20,2025-12-01 10:08:04.949761+00:00
0.06211284303173892,0.03467974353775321,21,2025-12-01 10:22:22.029536+00:00
0.062141930381225986,0.03413591896873044,22,2025-12-01 10:36:37.724990+00:00
0.061995302677338,0.03405172563579682,23,2025-12-01 10:50:53.492772+00:00
0.061153173505261074,0.033812238555783775,24,2025-12-01 11:05:10.458848+00:00
0.06140199182083685,0.03336960250427679,25,2025-12-01 11:19:26.729282+00:00
0.060968857566875735,0.0331533285604456,26,2025-12-01 11:33:44.446258+00:00
0.06060743701635324,0.03308860270788055,27,2025-12-01 11:48:00.014211+00:00
0.060686785837306696,0.03282678984717126,28,2025-12-01 12:02:17.208727+00:00
0.06009076958173114,0.03265641188496156,29,2025-12-01 12:16:33.456403+00:00
0.06004250411418166,0.03245670664112724,30,2025-12-01 12:30:49.823034+00:00
0.05991276438703452,0.03223217856368272,31,2025-12-01 12:45:06.116212+00:00
0.05920003543107193,0.0320509425829459,32,2025-12-01 12:59:22.342840+00:00
0.05890828893149193,0.03192553580413724,33,2025-12-01 13:13:37.389073+00:00
0.05883684208828105,0.031848370946087605,34,2025-12-01 13:27:53.961935+00:00
0.058515918488256255,0.031847815361847304,35,2025-12-01 13:42:10.867151+00:00
0.058304316296704656,0.031692634109871415,36,2025-12-01 13:56:27.437873+00:00
0.05764950169492437,0.03152797792218982,37,2025-12-01 14:10:44.940743+00:00
0.057348436842864906,0.03139791422856082,38,2025-12-01 14:25:01.969001+00:00
0.0568971934584358,0.03116581363733425,39,2025-12-01 14:39:16.914917+00:00
0.056874082254299387,0.031011025617523412,40,2025-12-01 14:53:30.040252+00:00
0.05625510577076763,0.03108709620339885,41,2025-12-01 15:07:45.814060+00:00
0.05573070302310052,0.030900331922436054,42,2025-12-01 15:22:01.020117+00:00
0.055259327010522954,0.030803338029560735,43,2025-12-01 15:36:17.049969+00:00
0.05440359048178437,0.03069409377816886,44,2025-12-01 15:50:32.837680+00:00
0.05316183895698243,0.03052516663561686,45,2025-12-01 16:04:48.875821+00:00
0.05247840665219665,0.030678465289717335,46,2025-12-01 16:19:05.843585+00:00
0.05153816514400059,0.03032817102321481,47,2025-12-01 16:33:23.611031+00:00
0.050443157130691814,0.030354590133525605,48,2025-12-01 16:47:47.345030+00:00
0.04957981866296437,0.030186269508748635,49,2025-12-01 17:02:05.918404+00:00
0.04873105967684908,0.030037899985756577,50,2025-12-01 17:16:25.347795+00:00
