loss_a,loss_b,epoch,time
0.11721435189247131,0.12079487700006884,1,2025-11-29 01:37:25.404339+00:00
0.10283483417751021,0.07588336611982117,2,2025-11-29 01:52:38.520291+00:00
0.10151161791331442,0.06747244121317317,3,2025-11-29 02:07:44.572462+00:00
0.09886461413818459,0.061824988562560385,4,2025-11-29 02:22:49.707600+00:00
0.08608184712738944,0.05151671534172556,5,2025-11-29 02:37:55.142108+00:00
0.08233320619840773,0.047516150283539484,6,2025-11-29 02:53:00.015901+00:00
0.08090836086507659,0.045586989793895596,7,2025-11-29 03:08:18.647031+00:00
0.08009080041112897,0.04449559754348825,8,2025-11-29 03:23:58.581676+00:00
0.0798463883424443,0.04292077068506144,9,2025-11-29 03:39:07.370029+00:00
0.07923951439879492,0.04178140826029219,10,2025-11-29 03:54:14.402565+00:00
0.07845637860294563,0.04126428359222529,11,2025-11-29 04:09:20.410531+00:00
0.07839789654225807,0.04009119194694363,12,2025-11-29 04:24:26.901738+00:00
0.07765658753667905,0.039030711814345684,13,2025-11-29 04:39:35.420685+00:00
0.0767875983468913,0.03850811105937372,14,2025-11-29 04:54:45.800565+00:00
0.0765407766666777,0.03770368741495365,15,2025-11-29 05:09:53.361816+00:00
0.07611010748873372,0.037462122115140224,16,2025-11-29 05:24:56.917389+00:00
0.0752449694518407,0.03687295402009279,17,2025-11-29 05:39:58.851300+00:00
0.07492307537342699,0.036589404875475746,18,2025-11-29 05:54:58.505783+00:00
0.07478113033118873,0.036013897980009604,19,2025-11-29 06:09:57.441366+00:00
0.07465212352253839,0.035996456871254155,20,2025-11-29 06:24:59.353768+00:00
0.07407290501956573,0.0357356223529703,21,2025-11-29 06:39:58.470126+00:00
0.07393402677273607,0.03510381035877289,22,2025-11-29 06:54:57.088015+00:00
0.07372393229163582,0.03509476781031783,23,2025-11-29 07:09:56.013354+00:00
0.07272415675823636,0.03473096814346251,24,2025-11-29 07:24:53.158967+00:00
0.07303986477173624,0.03429449394699004,25,2025-11-29 07:39:51.836011+00:00
0.07249246228320669,0.033986893491630005,26,2025-11-29 07:54:51.935105+00:00
0.0720093054437242,0.0340306654378783,27,2025-11-29 08:09:52.653996+00:00
0.07212358154216114,0.03370635300599594,28,2025-11-29 08:24:51.585937+00:00
0.0714453616331822,0.0335216835048541,29,2025-11-29 08:39:50.045275+00:00
0.07133389679825926,0.033420184408205746,30,2025-11-29 08:54:48.529861+00:00
0.07107647309345057,0.03318945892834538,31,2025-11-29 09:09:47.120927+00:00
0.07018209895022219,0.03310624341050215,32,2025-11-29 09:24:46.243829+00:00
0.06947019576925305,0.032795751096783225,33,2025-11-29 09:39:42.436035+00:00
0.06919897193287042,0.03285593229830939,34,2025-11-29 09:54:39.830813+00:00
0.06878331501230586,0.03262059033175294,35,2025-11-29 10:09:36.880551+00:00
0.06815724286511148,0.032604820659972264,36,2025-11-29 10:24:32.585633+00:00
0.06717120669641796,0.03245105279697991,37,2025-11-29 10:39:27.249973+00:00
0.06616546858183495,0.032268508450432026,38,2025-11-29 10:54:23.817880+00:00
0.06514111467227958,0.03217984285112962,39,2025-11-29 11:09:21.175651+00:00
0.06434614439835293,0.03194418736784729,40,2025-11-29 11:24:15.541354+00:00
0.06295321632763363,0.03187634206230288,41,2025-11-29 11:39:08.783959+00:00
0.061468710259624956,0.031919994886288,42,2025-11-29 11:54:02.379362+00:00
0.059651770264741256,0.0316448560084224,43,2025-11-29 12:08:57.027434+00:00
0.056983000836766745,0.03158474951903894,44,2025-11-29 12:23:50.610559+00:00
0.05433239708370343,0.03142779839829385,45,2025-11-29 12:38:45.741170+00:00
0.053999782650090734,0.031326754057966595,46,2025-11-29 12:53:39.059458+00:00
0.05372323127240279,0.031211804917198695,47,2025-11-29 13:08:31.404253+00:00
0.05319887859790327,0.03117932120552841,48,2025-11-29 13:23:25.377979+00:00
0.052999542218990225,0.03107521265531808,49,2025-11-29 13:38:16.392423+00:00
0.05281336892735895,0.030915031100103258,50,2025-11-29 13:53:10.316506+00:00
